City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Temperature (Celsius),humidity,Wind_Speed,Pressure,AQI_Bucket
Ahmedabad,22-01-2015,,,9.05,17.51,22.33,,9.05,23.71,42.22,0,0,4.51,,16.51473558,54.148709,12.17131887,1011.006015,
Ahmedabad,23-01-2015,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95,,39.52862103,39.05117506,17.5138728,1016.718716,
Ahmedabad,24-01-2015,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,14.15815371,14.82103939,17.68175888,1029.502389,
Ahmedabad,25-01-2015,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94,,-15.7641008,37.25276526,4.120248173,998.7397231,
Ahmedabad,26-01-2015,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55,,10.23943998,75.06135651,21.08938006,1019.935892,
Ahmedabad,27-01-2015,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0,1.65,,2.342491151,95.76290184,21.93392666,1026.35014,
Ahmedabad,28-01-2015,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,,11.55550553,49.99032441,10.08862981,1019.459314,
Ahmedabad,29-01-2015,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14,209,29.00010547,87.14272647,20.85368323,1006.174464,Poor
Ahmedabad,30-01-2015,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81,328,31.85976635,17.4138888,21.25309091,1015.526884,Very Poor
Ahmedabad,31-01-2015,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514,-2.186561622,49.77426726,20.108696,1024.318366,Severe
Ahmedabad,01-02-2015,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782,-8.06675974,36.24422657,25.22350702,1021.367446,Severe
Ahmedabad,02-02-2015,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914,4.94781559,68.30370767,19.65377555,1028.502679,Severe
Ahmedabad,03-02-2015,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660,25.51616751,96.78366857,22.86638158,1003.685896,Severe
Ahmedabad,04-02-2015,80.65,,2.37,22.83,24,,2.37,25.73,47.3,0,0,0,294,1.489353022,33.51212648,6.672703674,1027.632808,Poor
Ahmedabad,05-02-2015,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,0,0,0,149,-13.12282785,25.6762365,19.25381997,1026.855707,Moderate
Ahmedabad,06-02-2015,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0,0,0,190,18.85759314,61.76640962,20.04237026,1000.250284,Moderate
Ahmedabad,07-02-2015,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,0,0,0,247,21.87168721,65.256108,14.23369987,1011.750615,Poor
Ahmedabad,08-02-2015,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0,0,0.27,379,0.659873712,43.68270527,14.56626901,1004.470999,Very Poor
Ahmedabad,09-02-2015,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0,3.55,341,-11.5225558,47.2627831,19.73738149,1008.81044,Very Poor
Ahmedabad,10-02-2015,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,0,0,3.31,256,-2.24043471,51.15519126,11.32679667,1020.129534,Poor
Ahmedabad,11-02-2015,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388,24.36500617,64.35318198,18.07477085,1019.648535,Very Poor
Ahmedabad,12-02-2015,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288,17.84316901,4.126774197,6.677260201,1026.423977,Poor
Ahmedabad,13-02-2015,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510,33.1891272,13.81188112,5.41987809,1012.17984,Severe
Ahmedabad,14-02-2015,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17,52.66,6.98,761,14.83368948,97.23377327,10.50014455,1009.221981,Severe
Ahmedabad,15-02-2015,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475,-0.675311678,79.37621495,28.45185855,1002.99476,Severe
Ahmedabad,16-02-2015,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4,536,31.0745761,53.47601262,28.34668837,1018.886736,Severe
Ahmedabad,17-02-2015,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479,9.973439901,68.4253209,28.98268411,1019.251669,Severe
Ahmedabad,18-02-2015,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,10,32.41,4.04,592,-8.660462534,73.51553831,12.13655286,1004.636082,Severe
Ahmedabad,19-02-2015,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427,26.24463304,93.97210003,11.06550416,1035.627887,Severe
Ahmedabad,20-02-2015,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588,27.0883143,10.01631044,11.9122614,1024.610105,Severe
Ahmedabad,21-02-2015,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141,35.44455902,51.79269938,19.08701507,990.6336102,Severe
Ahmedabad,22-02-2015,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669,1.624276377,97.98682836,21.36722775,1019.934107,Severe
Ahmedabad,23-02-2015,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247,3.636092553,71.7018044,28.12971173,1026.761999,Severe
Ahmedabad,24-02-2015,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411,1.667832334,23.77837099,21.59990754,1028.515785,Severe
Ahmedabad,25-02-2015,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292,34.80055608,24.40673616,1.596814351,1008.443661,Poor
Ahmedabad,26-02-2015,,,,,,,,,,,,,,23.68618855,5.670310475,21.95509823,1002.702744,
Ahmedabad,27-02-2015,,,,,,,,,,,,,,21.75751196,89.82560961,9.850745659,1010.157408,
Ahmedabad,28-02-2015,,,,,,,,,,,,,,39.92889646,14.9772617,9.376786161,1031.05204,
Ahmedabad,01-03-2015,61.12,,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,,14.91991755,51.74585176,19.34893758,1027.971912,
Ahmedabad,02-03-2015,60.78,,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189,-17.37200228,40.80475141,20.80542127,1013.255808,Moderate
Ahmedabad,03-03-2015,91.83,,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408,-8.353657914,44.42520046,25.83774152,1011.196223,Severe
Ahmedabad,04-03-2015,93.88,,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383,32.48097703,42.32915741,24.73527889,1021.514748,Very Poor
Ahmedabad,05-03-2015,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780,25.63430649,87.38431451,4.935139943,1012.072297,Severe
Ahmedabad,06-03-2015,,,,,,,,,,,,,,38.3828423,27.11209684,20.48666559,1010.177298,
Ahmedabad,07-03-2015,105.45,,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,,-18.37903412,13.86876983,4.826978347,1014.203815,
Ahmedabad,08-03-2015,71.56,,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190,2.466675709,0.420368629,19.78606562,999.1541372,Moderate
Ahmedabad,09-03-2015,119.8,,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233,16.99720221,3.187619626,25.92948799,1009.021571,Poor
Ahmedabad,10-03-2015,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297,-5.773483544,79.03795546,20.58760942,1024.515243,Poor
Ahmedabad,11-03-2015,118.49,,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330,13.19722276,61.47849251,12.28554091,1008.789291,Very Poor
Ahmedabad,12-03-2015,106.01,,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252,31.99782824,98.85316536,21.35167933,1016.923465,Poor
Ahmedabad,13-03-2015,97.34,,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244,-19.07381198,88.1547668,2.113042172,1007.898981,Poor
Ahmedabad,14-03-2015,83.92,,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234,2.691753555,47.41877495,14.68969168,999.2100379,Poor
Ahmedabad,15-03-2015,49.51,,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219,-13.05901471,55.94931128,9.244902944,1018.856677,Poor
Ahmedabad,16-03-2015,30.76,,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118,14.43884332,10.57058597,18.58624079,1002.086689,Moderate
Ahmedabad,17-03-2015,50.29,,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231,39.46363276,58.84238031,24.22384185,1023.733131,Poor
Ahmedabad,18-03-2015,57.69,,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286,-0.08798095,31.18688204,23.80062016,1030.383146,Poor
Ahmedabad,19-03-2015,105.06,,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883,33.3919031,63.31623006,17.90239832,1005.39968,Severe
Ahmedabad,20-03-2015,94.1,,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720,30.25021247,3.45318193,0.916572626,998.0417437,Severe
Ahmedabad,21-03-2015,111.89,,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570,35.98564257,57.30754346,20.74858535,1023.054028,Severe
Ahmedabad,22-03-2015,108.59,,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589,33.13845705,17.27246984,22.8489976,1019.018647,Severe
Ahmedabad,23-03-2015,130.76,,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818,2.118273233,46.2119531,6.530046042,1008.309994,Severe
Ahmedabad,24-03-2015,143.55,,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737,25.36445487,22.47784609,21.02409507,1013.477099,Severe
Ahmedabad,25-03-2015,165.07,,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585,31.28726247,11.684984,23.84228652,1015.622809,Severe
Ahmedabad,26-03-2015,166.85,,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616,-10.12985411,87.35611292,6.36529479,992.9131266,Severe
Ahmedabad,27-03-2015,147.38,,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437,39.91518672,89.28250545,17.29205282,1001.555712,Severe
Ahmedabad,28-03-2015,158.25,,5.86,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83,321,39.02074851,46.66060229,14.23897041,1011.270748,Very Poor
Ahmedabad,29-03-2015,237.76,,4.99,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28,372,25.79117212,36.88918225,14.86484965,1017.488351,Very Poor
Ahmedabad,30-03-2015,133.37,,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339,9.091006177,37.38728683,29.54164701,1009.467648,Very Poor
Ahmedabad,31-03-2015,133.3,,6.52,20,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339,-5.612437112,68.89989287,26.41631403,1017.654955,Very Poor
Ahmedabad,01-04-2015,96.04,,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324,31.84340754,33.85859277,11.6328418,1015.393268,Very Poor
Ahmedabad,02-04-2015,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222,38.49674488,9.638895187,2.357147948,1009.406073,Poor
Ahmedabad,03-04-2015,53.07,,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169,30.00568819,20.31758063,28.41189869,999.9551826,Moderate
Ahmedabad,04-04-2015,63.11,,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220,38.38933028,2.862061364,2.237737212,1003.75845,Poor
Ahmedabad,05-04-2015,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,,14.88482304,66.96549431,11.84704738,1023.084145,
Ahmedabad,06-04-2015,120.96,,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303,-19.54041678,69.49774536,17.23888058,1015.321208,Very Poor
Ahmedabad,07-04-2015,138.63,,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314,35.73771227,23.36023805,6.288216553,1026.239839,Very Poor
Ahmedabad,08-04-2015,144.36,,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378,-8.418490726,52.91158299,25.64903704,1019.234211,Very Poor
Ahmedabad,09-04-2015,85.03,,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415,36.63468444,37.32202994,16.58551026,1014.836373,Severe
Ahmedabad,10-04-2015,134.6,,5.9,26.27,28.7,,5.9,34.53,7,0,0,0,,19.3651731,49.66590659,23.83718703,1011.823736,
Ahmedabad,11-04-2015,61.06,,3.52,14.03,17.59,,3.52,8.08,19.54,0,0,0.01,126,-6.455737874,43.93761439,19.019178,1024.484835,Moderate
Ahmedabad,12-04-2015,39.42,,5.28,19.56,24.66,,5.28,17.66,31.3,0,0,0,175,32.20153777,73.64831025,26.32322719,1007.001501,Moderate
Ahmedabad,13-04-2015,111.86,,3.89,22.51,25.17,,3.89,15.84,31.23,0,0,0,226,-14.36412582,72.6556589,6.978317279,1006.504538,Poor
Ahmedabad,14-04-2015,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244,39.04152655,10.94452168,21.34149915,1018.688799,Poor
Ahmedabad,15-04-2015,95.37,,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315,18.40676506,44.20118785,14.53734503,1006.948616,Very Poor
Ahmedabad,16-04-2015,141.3,,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678,34.03256282,23.64590347,27.16561946,1015.341773,Severe
Ahmedabad,17-04-2015,106.68,,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0,15.95,774,24.85668461,23.6312554,14.3227154,1015.467231,Severe
Ahmedabad,18-04-2015,109.48,,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0,6.19,285,-13.39767982,56.09589995,4.072219075,1010.321432,Poor
Ahmedabad,19-04-2015,126.04,,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0,6.4,321,21.92512085,50.3138352,18.87343404,1020.427144,Very Poor
Ahmedabad,20-04-2015,71.22,,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358,25.58529621,28.82908545,28.14740954,995.7448368,Very Poor
Ahmedabad,21-04-2015,97.87,,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357,24.38085735,52.58674169,19.34649581,1002.366246,Very Poor
Ahmedabad,22-04-2015,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0,0,1.23,189,15.04517267,99.44910761,5.24446926,1012.958878,Moderate
Ahmedabad,23-04-2015,75.29,,3.35,14.29,17.97,,3.35,76.05,60.71,0,0.01,2.27,,24.85131092,45.40949,10.59851654,992.3845567,
Ahmedabad,24-04-2015,80.9,,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214,30.26487085,39.5699048,9.27242773,1031.331801,Poor
Ahmedabad,25-04-2015,103.29,,4.55,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58,253,7.585852518,16.50245414,12.81084175,1028.200067,Poor
Ahmedabad,26-04-2015,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239,20.31107693,61.99753419,13.2764388,991.7406136,Poor
Ahmedabad,27-04-2015,161.14,,3.11,14.77,16.12,,3.11,118.35,59.73,0,2.55,0,,12.77361739,87.03779205,0.667592259,1016.464529,
Ahmedabad,28-04-2015,102.58,,3.88,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76,,-0.805372767,15.20258449,28.20762542,1017.469205,
Ahmedabad,29-04-2015,138.42,,5.05,16.7,21.56,,5.05,77.74,27.18,0.01,0.88,2.01,300,-15.14588535,53.0678334,29.11194931,1008.699243,Poor
Ahmedabad,30-04-2015,129.04,,5.69,14.86,19.66,,5.69,78.27,18.67,0,0,1.54,317,-9.416466297,95.43267702,15.97821597,1023.373541,Very Poor
Ahmedabad,01-05-2015,96.65,,4.67,15.9,20.53,,4.67,39.41,11.83,0.01,0,3.11,240,20.84384032,37.36843563,16.71963794,1027.413396,Poor
Ahmedabad,02-05-2015,126.77,,15.69,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10,344,21.44490597,63.40430865,3.382905408,988.7920452,Very Poor
Ahmedabad,03-05-2015,106.15,,13.12,23.02,35.05,,13.12,65.95,81.6,0.3,0.02,9.69,503,10.94269641,90.73183803,23.03560607,1020.841239,Severe
Ahmedabad,04-05-2015,86.31,,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308,-6.328953707,0.529451572,19.98559514,1011.782326,Very Poor
Ahmedabad,05-05-2015,83.99,,2.73,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97,227,-2.139391044,21.60574788,12.11299665,1014.359207,Poor
Ahmedabad,06-05-2015,65.11,,3.14,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,5.84,120,-4.731952021,25.99201689,3.117650952,1033.382211,Moderate
Ahmedabad,07-05-2015,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0,0,1.29,158,-10.56895241,28.55193138,20.41426714,1024.461722,Moderate
Ahmedabad,08-05-2015,38.73,,8,19.28,26.61,,8,20.13,25.7,0,0,2.08,177,37.75978216,92.37185254,26.89697105,1010.895815,Moderate
Ahmedabad,09-05-2015,61.12,,9.94,17.82,27.18,,9.94,39.69,25.9,0,0,3.49,201,-6.164341921,23.38941028,10.10094012,1010.581904,Poor
Ahmedabad,10-05-2015,58.44,,10.68,17.24,27.38,,10.68,54.69,18.89,0,0,1.39,211,0.792660154,81.15992155,10.35850774,1034.128579,Poor
Ahmedabad,11-05-2015,61.49,,11.44,16.69,27.61,,11.44,42.66,18.2,0.01,0,2.59,221,36.60381345,80.42336579,7.694596264,1017.443034,Poor
Ahmedabad,12-05-2015,65.39,,12.3,16.08,27.86,,12.3,27.96,22.35,0,0,2.29,233,25.55653901,13.49474434,15.09817269,1014.671533,Poor
Ahmedabad,13-05-2015,100.92,,20.42,18.9,37.83,,20.42,31.9,22.84,4.9,19.26,8.21,481,-3.249031637,2.681593201,25.16935158,1019.001075,Severe
Ahmedabad,14-05-2015,97.48,,5.31,30.02,33.62,,5.31,36.05,16.26,10.6,34.91,3.85,352,24.95475815,45.37649471,24.04362997,1010.821512,Very Poor
Ahmedabad,15-05-2015,129.27,,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327,-9.357549518,58.28390801,17.61088906,1019.890505,Very Poor
Ahmedabad,16-05-2015,129.58,,21.23,28.79,45.4,,21.23,17.66,34.42,20.53,85.73,11.56,577,4.932328819,31.79446065,7.991259627,1004.414191,Severe
Ahmedabad,17-05-2015,100.57,,7.56,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54,411,28.51014764,44.77411372,15.98308103,1011.072434,Severe
Ahmedabad,18-05-2015,130.34,,7.14,17.43,23.72,,7.14,52.07,29.05,5.05,14,1.3,212,3.102903662,5.383122588,2.886199828,1005.550737,Poor
Ahmedabad,19-05-2015,53.24,,8.05,15.86,23.34,,8.05,36.23,21.58,5.23,15,1.02,280,13.57869275,97.55017906,5.925026336,1011.955349,Poor
Ahmedabad,20-05-2015,42,,10.44,18.16,21.8,,10.44,17,25.5,0,0,0,162,18.68370129,20.68574286,27.69348783,1013.528174,Moderate
Ahmedabad,21-05-2015,50.1,,9.46,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44,,12.3323034,21.11174925,15.22417278,1013.494047,
Ahmedabad,22-05-2015,83.69,,10.89,17.18,27.15,,10.89,41.12,35.61,12.62,20.2,17.84,569,5.751207837,9.596641332,7.856577864,1001.95951,Severe
Ahmedabad,23-05-2015,38.88,,2.18,16.28,17.74,,2.18,26.4,12.47,3,6.96,6.37,128,-3.631114483,95.00268771,18.62034428,1019.531754,Moderate
Ahmedabad,24-05-2015,46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129,36.10086155,92.982804,12.35730928,1002.250134,Moderate
Ahmedabad,25-05-2015,70.96,,4.12,15.47,19.28,,4.12,23.67,16.01,3.72,8.13,4.06,152,33.36271797,17.71246462,19.09022988,999.827386,Moderate
Ahmedabad,26-05-2015,53.66,,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176,-2.829708165,80.7291947,6.392606607,1005.525112,Moderate
Ahmedabad,27-05-2015,45.49,,4.26,13.73,17.1,,4.26,12.85,71.85,2.5,5.96,3.36,167,33.76665399,21.16686156,20.52491096,1036.8577,Moderate
Ahmedabad,28-05-2015,60.86,,5.27,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54,106,25.95697792,73.73951485,15.07280761,1014.971731,Moderate
Ahmedabad,29-05-2015,51.93,,13.71,17.87,31.64,,13.71,15.33,12.88,6.32,19.17,10.57,231,4.504382076,23.14964834,13.59520499,1022.190081,Poor
Ahmedabad,30-05-2015,77.87,,6.67,17.12,23,,6.67,46.82,16.67,4.79,9.78,5.1,327,-1.257001702,61.48903769,17.46368845,1016.063324,Very Poor
Ahmedabad,31-05-2015,57.59,,5.6,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08,174,35.55818167,34.10600792,25.2417525,1022.014442,Moderate
Ahmedabad,01-06-2015,77.22,,7.02,15.47,21.13,,7.02,71.97,9.56,3.74,8.45,1.17,185,37.8568066,88.97358861,13.312824,989.4840292,Moderate
Ahmedabad,02-06-2015,45.29,,7.25,12.74,19.66,,7.25,18.64,6.32,2.73,6.99,0.76,179,12.59658248,13.99128005,23.39392058,1006.614318,Moderate
Ahmedabad,03-06-2015,103.78,,6.36,13.9,19.86,,6.36,7.76,15.27,0.82,1.37,0.81,211,0.830112706,46.09709195,22.44404347,1020.417201,Poor
Ahmedabad,04-06-2015,25.14,,6.01,18.73,24.74,,6.01,38.05,38.52,0,0,0,192,21.29365355,53.83660662,8.876793652,1031.008429,Moderate
Ahmedabad,05-06-2015,87.03,,8.05,17.88,25.53,,8.05,23.84,48.22,0,0,0,310,-7.9177961,98.64417194,1.157162119,1028.977352,Very Poor
Ahmedabad,06-06-2015,89.6,,6.59,19.84,25.9,,6.59,48.05,44.78,0,0,0,223,-8.805512362,2.663046825,7.226754258,1005.558082,Poor
Ahmedabad,07-06-2015,80.69,,6.86,16.07,22.25,,6.86,39.85,32.65,0,0,0,192,8.065257167,4.591794683,3.844259537,1017.137695,Moderate
Ahmedabad,08-06-2015,44.75,,7.76,16.53,24.29,,7.76,9.89,8.07,0,0,0,191,21.6860225,70.06057937,16.85074962,1015.762501,Moderate
Ahmedabad,09-06-2015,38.11,,7.41,11.62,19.03,,7.41,3.13,6.69,2.5,5.93,0.74,184,-1.495720202,46.09640339,15.86876885,1015.378572,Moderate
Ahmedabad,10-06-2015,45.5,,8.56,15.59,24.15,,8.56,0.76,3.82,5.09,8.52,1.82,220,0.867689941,67.69223481,25.03259985,1028.40842,Poor
Ahmedabad,11-06-2015,36.98,,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215,25.58207458,16.53572886,15.74144379,1012.051498,Poor
Ahmedabad,12-06-2015,43.58,,8.26,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5,226,10.31494102,27.08996441,24.79942206,1013.72748,Poor
Ahmedabad,13-06-2015,45.49,,9.63,14.91,24.53,,9.63,0.81,2.94,3.67,6.62,1.17,251,39.84164892,2.137877011,9.503716132,1015.091742,Poor
